"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2024","77.94","76.34","78.72","76.17","6.37M","2.96%"
"01/05/2024","75.70","76.16","77.09","75.07","6.84M","-0.66%"
"01/04/2024","76.20","75.85","77.99","74.80","10.67M","-3.92%"
"01/03/2024","79.31","79.38","79.78","77.56","6.16M","-2.63%"
"01/02/2024","81.45","82.77","83.72","80.28","7.94M","-2.49%"
"12/29/2023","83.53","85.07","85.14","82.89","4.19M","-1.71%"
"12/28/2023","84.98","85.00","85.50","84.26","3.06M","-0.08%"
"12/27/2023","85.05","85.84","86.10","84.60","3.44M","-0.49%"
"12/26/2023","85.47","84.50","85.97","84.15","3.22M","1.74%"
"12/22/2023","84.01","83.90","84.47","82.99","2.43M","0.43%"
"12/21/2023","83.65","83.00","84.05","82.66","4.49M","3.06%"
"12/20/2023","81.17","84.00","84.96","81.13","6.14M","-4.21%"
"12/19/2023","84.74","83.76","85.00","83.54","4.39M","1.17%"
"12/18/2023","83.76","85.00","85.24","82.76","6.35M","-2.21%"
"12/15/2023","85.65","85.64","86.77","84.50","16.81M","-0.65%"
"12/14/2023","86.21","82.50","86.46","82.46","11.34M","6.35%"
"12/13/2023","81.06","78.96","81.62","77.86","5.77M","3.41%"
"12/12/2023","78.39","78.81","78.90","77.57","6.31M","-1.27%"
"12/11/2023","79.40","76.68","80.20","76.45","7.90M","4.28%"
"12/08/2023","76.14","75.57","77.25","75.52","4.58M","0.40%"
"12/07/2023","75.84","73.76","76.31","73.63","6.25M","3.27%"
"12/06/2023","73.44","73.65","74.75","73.15","5.20M","1.60%"
"12/05/2023","72.28","72.64","72.91","71.45","3.37M","-1.12%"
"12/04/2023","73.10","73.26","74.17","71.73","5.50M","-1.46%"
"12/01/2023","74.18","71.25","74.24","70.89","6.07M","4.00%"
"11/30/2023","71.33","72.16","72.42","70.66","7.15M","-0.40%"
"11/29/2023","71.62","70.45","73.22","70.39","7.75M","3.65%"
"11/28/2023","69.10","68.72","69.44","68.23","4.43M","0.61%"
"11/27/2023","68.68","68.90","69.54","68.42","4.04M","-0.87%"
"11/24/2023","69.28","68.64","69.45","68.61","1.72M","1.05%"
"11/22/2023","68.56","68.88","69.82","68.24","4.38M","0.25%"
"11/21/2023","68.39","70.04","70.23","68.15","6.00M","-3.24%"
